source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms,Neetable,"Bengaluru, India",https://neetable.com,neetable.com,2014,10-49,,,,,,A,already_in_crm,domain neetable.com on a live deal
goodfirms+nasscom,Wissen Technology,"Bengaluru, India",https://www.wissen.com,wissen.com,2015,250+,,,,,,A,already_in_crm,domain wissen.com on a live deal
goodfirms,GSA Techworld,"Bengaluru, India",http://www.gsatechworld.com/,gsatechworld.com,2017,10-49,,,,,,A,already_in_crm,domain gsatechworld.com on a live deal
goodfirms,Tech Active,"Bengaluru, India",https://www.active.agency/,active.agency,2006,50-249,,,,,,A,already_in_crm,domain active.agency on a live deal
goodfirms,NexSemi Systems Pvt. Ltd.,"Bengaluru, India",https://nexsemisystems.com/,nexsemisystems.com,2017,50-249,,,,,,A,already_in_crm,domain nexsemisystems.com on a live deal
goodfirms,Assystant,"Bengaluru, India",https://assystant.com/our-company/,assystant.com,2014,10-49,,,,,,A,already_in_crm,domain assystant.com on a live deal
goodfirms,Skillsac Learning And Business Solutions PVT LTD,"Bengaluru, India",https://skillsac.com/,skillsac.com,2018,10-49,,,,,,A,already_in_crm,domain skillsac.com on a live deal
goodfirms,Krishworks Technology Innovations,"Bengaluru, India",https://krishworks.tech/,krishworks.tech,2021,10-49,,,,,,A,already_in_crm,domain krishworks.tech on a live deal
goodfirms,Arokee Online Solutions Pvt. Ltd,"Bengaluru, India",http://www.arokee.com,arokee.com,2016,10-49,,,,,,A,already_in_crm,domain arokee.com on a live deal
goodfirms,Digiapt Software Technologies Pvt Ltd,"Bengaluru, India",http://www.digiapt.com/,digiapt.com,2009,50-249,,,,,,A,already_in_crm,domain digiapt.com on a live deal
goodfirms,Advanced Millennium Technologies,"Bengaluru, India",https://www.amt.in,amt.in,2002,50-249,,,,,,A,already_in_crm,domain amt.in on a live deal
goodfirms,Infoskaters Technologies Pvt. Ltd.,"Bengaluru, India",https://www.infoskaters.com/,infoskaters.com,2016,10-49,,,,,,A,already_in_crm,domain infoskaters.com on a live deal
goodfirms,DigiQAL Technologies,"Bengaluru, India",http://www.digiqal.in,digiqal.in,2019,50-249,,,,,,A,already_in_crm,domain digiqal.in on a live deal
goodfirms,Moshi Moshi,"Bengaluru, India",https://www.moshimoshi.in/,moshimoshi.in,2014,50-249,,,,,,A,already_in_crm,domain moshimoshi.in on a live deal
goodfirms,Reach C Onmark Pvt Ltd,"Bengaluru, India",https://reachc.com/,reachc.com,2016,10-49,,,,,,A,already_in_crm,domain reachc.com on a live deal
goodfirms,Azympto,"Bengaluru, India",https://www.azympto.com/,azympto.com,2015,10-49,,,,,,A,already_in_crm,domain azympto.com on a live deal
goodfirms,i-Vista,"Bengaluru, India",http://www.ivistasolutions.com,ivistasolutions.com,1996,50-249,,,,,,A,already_in_crm,domain ivistasolutions.com on a live deal
goodfirms,Zyple Software Solutions Pvt Ltd,"Bengaluru, India",https://www.zyplesoft.com/,zyplesoft.com,2018,250+,,,,,,A,already_in_crm,domain zyplesoft.com on a live deal
goodfirms,KIBA Labs,"Bengaluru, India",https://kibalabs.in/,kibalabs.in,2019,10-49,,,,,,A,already_in_crm,domain kibalabs.in on a live deal
goodfirms,MetroMindz Software Pvt Ltd,"Bengaluru, India",https://www.metromindz.com/,metromindz.com,2021,10-49,,,,,,A,already_in_crm,domain metromindz.com on a live deal
goodfirms,SUMERU DIGITAL SOLUTIONS,"Bengaluru, India",https://sumerudigital.com,sumerudigital.com,2021,50-249,,,,,,A,already_in_crm,domain sumerudigital.com on a live deal
goodfirms,Macincode Technologies Private Limited,"Bengaluru, India",https://macincode.com,macincode.com,2020,10-49,,,,,,A,already_in_crm,domain macincode.com on a live deal
goodfirms,CodeGama,"Bengaluru, India",https://codegama.com/,codegama.com,2017,50-249,,,,,,A,already_in_crm,domain codegama.com on a live deal
goodfirms,eORB Solutions Inc.,"Bengaluru, India",https://www.eorbsolutions.com/,eorbsolutions.com,2015,10-49,,,,,,A,already_in_crm,domain eorbsolutions.com on a live deal
goodfirms,ARD Technologies,"Bengaluru, India",https://www.ardtechs.com/,ardtechs.com,2016,10-49,,,,,,A,already_in_crm,domain ardtechs.com on a live deal
goodfirms,Evenion Technologies,"Bengaluru, India",https://www.eveniontechnologies.com/,eveniontechnologies.com,2016,50-249,,,,,,A,already_in_crm,domain eveniontechnologies.com on a live deal
goodfirms,Hutech Solutions,"Bengaluru, India",https://hutechsolutions.com,hutechsolutions.com,2019,50-249,,,,,,A,already_in_crm,domain hutechsolutions.com on a live deal
goodfirms,Codingmart Technologies Private Limited,"Bengaluru, India",http://www.codingmart.com,codingmart.com,2013,50-249,,,,,,A,already_in_crm,domain codingmart.com on a live deal
goodfirms,Nakshatra Namaha Creations,"Bengaluru, India",https://nakshatranamahacreations.com/,nakshatranamahacreations.com,2015,50-249,,,,,,A,already_in_crm,domain nakshatranamahacreations.com on a live deal
goodfirms,APPiLY Technologies,"Bengaluru, India",https://appilytech.com,appilytech.com,2014,10-49,,,,,,A,already_in_crm,domain appilytech.com on a live deal
goodfirms,Ekfrazo Technologies Private Limited,"Bengaluru, India",https://ekfrazo.com/,ekfrazo.com,2015,50-249,,,,,,A,already_in_crm,domain ekfrazo.com on a live deal
goodfirms,Sun Plus Software Technologies,"Bengaluru, India",https://sunplussoftware.com/,sunplussoftware.com,2011,50-249,,,,,,A,already_in_crm,domain sunplussoftware.com on a live deal
goodfirms,Samniya Digital Pvt. Ltd.,"Bengaluru, India",https://samniyadigital.com,samniyadigital.com,2017,10-49,,,,,,A,already_in_crm,domain samniyadigital.com on a live deal
goodfirms,Taaffeite Technologies,"Bengaluru, India",https://www.taaffeite.co,taaffeite.co,2022,50-249,,,,,,A,already_in_crm,domain taaffeite.co on a live deal
goodfirms,Percoyo,"Bengaluru, India",http://www.percoyo.com,percoyo.com,2015,10-49,,,,,,A,already_in_crm,domain percoyo.com on a live deal
goodfirms,CognitiveClouds,"Bengaluru, India",https://www.cognitiveclouds.app/,cognitiveclouds.app,2012,50-249,,,,,,A,already_in_crm,domain cognitiveclouds.app on a live deal
goodfirms,Mantra Labs,"Bengaluru, India",https://www.mantralabsglobal.com,mantralabsglobal.com,2009,50-249,,,,,,A,already_in_crm,domain mantralabsglobal.com on a live deal
goodfirms,Suventure Services Pvt Ltd,"Bengaluru, India",https://suventure.in/,suventure.in,2012,250+,,,,,,A,already_in_crm,domain suventure.in on a live deal
goodfirms,Pichkaari Design Studio,"Bengaluru, India",https://www.pichkaari.com/,pichkaari.com,2013,10-49,,,,,,A,already_in_crm,domain pichkaari.com on a live deal
goodfirms,Arka Consultancy,"Bengaluru, India",https://www.arkaconsultancy.com/,arkaconsultancy.com,2021,50-249,,,,,,A,already_in_crm,"name ~ ""arka"" >=0.92"
goodfirms,Levon Techno Solutions Pvt Ltd,"Bengaluru, India",https://www.levontechno.com/,levontechno.com,2022,50-249,,,,,,A,already_in_crm,domain levontechno.com on a live deal
goodfirms,Helveticans,"Bengaluru, India",http://www.helveticans.com,helveticans.com,2021,10-49,,,,,,A,already_in_crm,domain helveticans.com on a live deal
goodfirms,EncureIT Systems Pvt Ltd,"Pune, India",https://www.encureit.com/,encureit.com,2012,50-249,,,,,,A,already_in_crm,"name ~ ""encureit"" >=0.92"
goodfirms,iB Arts Pvt. Ltd.,"Pune, India",https://www.ibarts.in/,ibarts.in,2017,50-249,,,,,,A,already_in_crm,domain ibarts.in on a live deal
goodfirms,Associative,"Pune, India",https://associative.in,associative.in,2021,10-49,,,,,,A,already_in_crm,domain associative.in on a live deal
goodfirms,Aneka Labs Private Limited,"Pune, India",https://anekalabs.com/,anekalabs.com,2022,50-249,,,,,,A,already_in_crm,domain anekalabs.com on a live deal
