source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
goodfirms,Abstrabit Technologies Private Limited,"Bengaluru, India",https://www.abstrabit.com/,abstrabit.com,2020,10-49,10-49,,False,False,False
goodfirms,Xmplar Management Solutions,"Bengaluru, India",https://www.xmplar.in/,xmplar.in,2013,50-249,50-249,,False,False,False
goodfirms+nasscom,Technoforte,"Bengaluru, India",https://www.technoforte.co.in/,technoforte.co.in,2000,50-249,50-249,,False,False,False
goodfirms,Mantiqh Technologies Pvt Ltd,"Bengaluru, India",https://mantiqh.com/,mantiqh.com,2021,10-49,10-49,,False,False,False
goodfirms+nasscom,Flatworld Solutions,"Bengaluru, India",https://www.flatworldsolutions.com/,flatworldsolutions.com,2002,250+,250+,,False,True,False
goodfirms,Hitouch Technologies (P) Ltd.,"Bengaluru, India",http://hitouchtechnologies.com/,hitouchtechnologies.com,2012,10-49,10-49,,False,False,False
goodfirms,Facile Consulting Private Limited,"Bengaluru, India",http://www.facileconsulting.com,facileconsulting.com,2015,50-249,50-249,,False,False,False
goodfirms,Infolink Technologies Pvt.Ltd,"Bengaluru, India",http://www.infolinkindia.com,infolinkindia.com,2000,10-49,10-49,,False,False,False
goodfirms,Velozion Technologies Pvt Ltd,"Bengaluru, India",https://www.velozion.com,velozion.com,2017,10-49,10-49,,False,False,False
goodfirms,Pentechs,"Bengaluru, India",http://www.pentechs.com,pentechs.com,2011,10-49,10-49,,False,False,False
goodfirms,Altorum Leren Pvt Ltd,"Bengaluru, India",https://www.altorumleren.com/,altorumleren.com,2017,50-249,50-249,,False,False,False
goodfirms,VSM Software P Ltd,"Bengaluru, India",http://www.vsmsoftware.com,vsmsoftware.com,2006,50-249,50-249,,False,False,False
goodfirms,Wawbiz,"Bengaluru, India",https://wawbiz.com/,wawbiz.com,2019,50-249,50-249,,False,False,False
goodfirms,ERachana Technologies,"Bengaluru, India",https://officeanywhere.io,officeanywhere.io,,10-49,10-49,,False,False,False
goodfirms,Softica,"Bengaluru, India",https://www.softicatechnologies.com/,softicatechnologies.com,2011,10-49,10-49,,False,False,False
goodfirms,Zivra Technologies,"Bengaluru, India",http://zivratech.com/,zivratech.com,2010,10-49,10-49,,False,False,False
goodfirms,GEOGO Technologies,"Bengaluru, India",https://geogo.in,geogo.in,2016,10-49,10-49,,False,False,False
goodfirms,Q-Dat IT Solutions,"Bengaluru, India",http://www.q-dat.com/,q-dat.com,,10-49,10-49,,False,False,False
goodfirms,Hexad Infosoft Private Limited,"Bengaluru, India",https://www.hexad.de/en/index.html,hexad.de,2010,250+,250+,,False,True,False
goodfirms,SILEO TECHNOLOGIES PRIVATE LIMITED,"Bengaluru, India",https://www.thesileo.com,thesileo.com,2022,10-49,10-49,,False,False,False
goodfirms,Forklyft ERP Solutions,"Bengaluru, India",https://forklyft.in/,forklyft.in,2017,10-49,10-49,,False,False,False
goodfirms,Finva Tech Pvt Ltd,"Bengaluru, India",https://finvatech.com,finvatech.com,2023,50-249,50-249,,False,False,False
goodfirms,Enaviya Information Technologies Pvt Ltd,"Bengaluru, India",https://www.enaviya.com/,enaviya.com,2006,50-249,50-249,,False,False,False
goodfirms,Cortexcraft Innovation Labs Pvt Ltd,"Bengaluru, India",https://cortexcraft.com/,cortexcraft.com,2014,10-49,10-49,,False,False,False
