source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
ASSOC:ITAAP,stio,,https://stio.in,stio.in,,,,,True,False,False
ASSOC:ITAAP,synectic,,https://synectic.in,synectic.in,,,,,True,False,False
ASSOC:HYSEA,AEONX TECHNOLOGY SOLUTIONS PRIVATE LIMITED,,https://aeonx.digital,aeonx.digital,,,,,True,False,False
ASSOC:HYSEA,AMNET DIGITAL PRIVATE LIMITED,,https://amnetdigital.com,amnetdigital.com,,,,,True,False,False
ASSOC:HYSEA,APPEN AI INDIA PRIVATE LIMITED,,https://appen.com,appen.com,,,,,True,False,False
ASSOC:HYSEA,Abda Digital,,https://abdadigital.com,abdadigital.com,,,,,True,False,False
ASSOC:HYSEA,Acheron Software Consultancy Pvt. Ltd.,,https://acheron-tech.com,acheron-tech.com,,,,,True,False,False
ASSOC:HYSEA,Alpine Techq Incorporated,,https://alpinetechq.com,alpinetechq.com,,,,,True,False,False
ASSOC:GTECH,Amyntor Tech Solutions Pvt Ltd,,https://amyntortech.com,amyntortech.com,,,,,True,False,False
ASSOC:HYSEA,Ananth Technologies Ltd,,https://ananthtech.com,ananthtech.com,,,,,True,False,False
ASSOC:HYSEA,Android Porting and Customization,,https://primesoft.net,primesoft.net,,,,,True,False,False
ASSOC:GTECH,Applexus Technologies Pvt. Ltd.,,https://applexus.com,applexus.com,,,,,True,False,False
ASSOC:HYSEA,Application Management Services,,https://nttdata-solutions.com,nttdata-solutions.com,,,,,True,False,False
ASSOC:GTECH,Azinova Technologies Pvt. Ltd.,,https://azinovatechnologies.com,azinovatechnologies.com,,,,,True,False,False
ASSOC:HYSEA,Bcdc cloud centers Pvt ltd,,https://bharathcloud.com,bharathcloud.com,,,,,True,False,False
ASSOC:HYSEA,Bosch Global Software Technologies Private Ltd,,https://bosch-softwaretechnologies.com,bosch-softwaretechnologies.com,,,,,True,False,False
ASSOC:HYSEA,CPZ TECH Private Limited,,https://cpztech.com,cpztech.com,,,,,True,False,False
ASSOC:HYSEA,Callaway Digital Technologies Pvt Ltd,,https://callawaydigitech.com,callawaydigitech.com,,,,,True,False,False
ASSOC:GTECH,Canza Technology Consultants,,https://canzatech.com,canzatech.com,,,,,True,False,False
ASSOC:HYSEA,Cesta Technologies Pvt Ltd,,https://cestasoft.co.za,cestasoft.co.za,,,,,True,False,False
ASSOC:HYSEA,Cloud4C Services Pvt. Ltd.,,https://cloud4c.com,cloud4c.com,,,,,True,False,False
ASSOC:HYSEA,Codegnan IT solutions,,https://codegnan.com,codegnan.com,,,,,True,False,False
ASSOC:HYSEA,Convey Tech Labs India Private Limited,,https://conveytechlabs.com,conveytechlabs.com,,,,,True,False,False
ASSOC:HYSEA,Cybercommand Private Limited,,https://cybercommand.tech,cybercommand.tech,,,,,True,False,False
ASSOC:GTECH,Cybrosys Techno Solutions Pvt. Ltd.,,https://cybrosys.com,cybrosys.com,,,,,True,False,False
ASSOC:HYSEA,DST Worldwide Services India Pvt. Ltd.,,https://dstsystems.com,dstsystems.com,,,,,True,False,False
ASSOC:GTECH,Daiviksoft Technologies Private Limited.,,https://daiviksoft.com,daiviksoft.com,,,,,True,False,False
ASSOC:GTECH,Dinero Tech Labs Pvt Ltd,,https://dinerotechlabs.com,dinerotechlabs.com,,,,,True,False,False
ASSOC:GTECH,ECESIS BPO SERVICES PVT LTD,,https://ecesistech.com,ecesistech.com,,,,,True,False,False
ASSOC:GTECH,Edify Datascience Pvt Ltd,,https://edifydata.com,edifydata.com,,,,,True,False,False
ASSOC:HYSEA,Energytech Global Pvt. Ltd.,,https://energytech-global.com,energytech-global.com,,,,,True,False,False
ASSOC:GTECH,Enfin Technologies India Pvt. Ltd.,,https://enfintechnologies.com,enfintechnologies.com,,,,,True,False,False
ASSOC:GTECH,Faith Infotech India Pvt. Ltd.,,https://faithinfotechcorp.com,faithinfotechcorp.com,,,,,True,False,False
ASSOC:HYSEA,Fin Infocom Pvt. Ltd.,,https://fininfocom.com,fininfocom.com,,,,,True,False,False
ASSOC:HYSEA,Future Tech Information Systems Pvt. Ltd.,,https://futuretechinfo.com,futuretechinfo.com,,,,,True,False,False
ASSOC:GTECH,GEMINI Software Solutions Pvt. Ltd.,,https://geminisoftware.com,geminisoftware.com,,,,,True,False,False
ASSOC:GTECH,HYBCLOUD TECHNOLOGIES (CLOUD CONTROL),,https://ecloudcontrol.com,ecloudcontrol.com,,,,,True,False,False
ASSOC:HYSEA,Helius Computech India Private Limited,,https://helius-tech.com,helius-tech.com,,,,,True,False,False
ASSOC:HYSEA,Husys Consulting Limited,,https://husys.com,husys.com,,,,,True,False,False
ASSOC:HYSEA,INFOPEOPLE GLOBAL,,https://infopeoplecorp.com,infopeoplecorp.com,,,,,True,False,False
ASSOC:GTECH,IPIX Tech Services Pvt Ltd,,https://ipixtechnologies.com,ipixtechnologies.com,,,,,True,False,False
ASSOC:HYSEA,Infopeers Solutions Private Limited,,https://infopeers.com,infopeers.com,,,,,True,False,False
ASSOC:HYSEA,Infor (India) Private Limited,,https://infor.com,infor.com,,,,,True,False,False
ASSOC:HYSEA,Informatica Business Solutions Pvt. Ltd.,,https://informatica.com,informatica.com,,,,,True,False,False
ASSOC:HYSEA,Informatics India,,https://informaticsindia.com,informaticsindia.com,,,,,True,False,False
ASSOC:GTECH,Infospica Consultancy Services LLP,,https://infospica.com,infospica.com,,,,,True,False,False
ASSOC:HYSEA,Infoview Systems Incorporated,,https://infoviewsystems.com,infoviewsystems.com,,,,,True,False,False
ASSOC:HYSEA,Jiva Internet Solutions Pvt. Ltd.,,https://jivainfotech.com,jivainfotech.com,,,,,True,False,False
ASSOC:HYSEA,Loginsoft Pvt. Ltd.,,https://loginsoft.com,loginsoft.com,,,,,True,False,False
ASSOC:GTECH,M2H Infotech LLP,,https://m2hinfotech.com,m2hinfotech.com,,,,,True,False,False
ASSOC:ITAAP,MERGESOFT TECHNOLOGIES PVT LTD IMAGE NOT AVAILABLE,,https://merzesoft.com,merzesoft.com,,,,,True,False,False
ASSOC:GTECH,Magnicode Solutions Pvt. Ltd.,,https://magnificentcode.com,magnificentcode.com,,,,,True,False,False
ASSOC:GTECH,Magpii Innovations Private Limited,,https://magpiitech.com,magpiitech.com,,,,,True,False,False
ASSOC:HYSEA,Maq Softawre,,https://maqsoftware.com,maqsoftware.com,,,,,True,False,False
ASSOC:HYSEA,Mastech Digital Private Limited,,https://mastechdigital.com,mastechdigital.com,,,,,True,False,False
ASSOC:HYSEA,Metasoft Solutions,,https://metasoftsolutions.com,metasoftsolutions.com,,,,,True,False,False
ASSOC:GTECH,Millennium Infologic,,https://millinfo.net,millinfo.net,,,,,True,False,False
ASSOC:HYSEA,Motivity Labs Private Limited,,https://motivitylabs.com,motivitylabs.com,,,,,True,False,False
ASSOC:HYSEA,N LABS AI PRIVATE LIMITED,,https://n-labs.ai,n-labs.ai,,,,,True,False,False
ASSOC:HYSEA,NIIT Incessant Technologies,,https://incessanttechnologies.com,incessanttechnologies.com,,,,,True,False,False
ASSOC:ITAAP,NIMAISOFT SYSTEMS PVT LTD,,https://nimaisoft.com,nimaisoft.com,,,,,True,False,False
ASSOC:HYSEA,NTT Data Global Delivery Services Pvt. Ltd.,,https://us.nttdata.com,us.nttdata.com,,,,,True,False,False
ASSOC:GTECH,NilaSoft Pvt Ltd,,https://nila-soft.com,nila-soft.com,,,,,True,False,False
ASSOC:GTECH,Noon Technologies,,https://noontechnologies.com,noontechnologies.com,,,,,True,False,False
ASSOC:HYSEA,OSI Digital,,https://osidigital.com,osidigital.com,,,,,True,False,False
ASSOC:HYSEA,PMR Softtech Pvt Ltd Innovative Information Technologies,,https://innovativeinfotech.com,innovativeinfotech.com,,,,,True,False,False
ASSOC:HYSEA,Parnandi Technology Solutions Pvt. Ltd.,,https://parnanditech.com,parnanditech.com,,,,,True,False,False
ASSOC:HYSEA,Plural Technology Private Limited,,https://pluraltechnology.com,pluraltechnology.com,,,,,True,False,False
ASSOC:GTECH,Polus Software Pvt. Ltd.,,https://polussoftware.com,polussoftware.com,,,,,True,False,False
ASSOC:GTECH,QMIS SYSTEMS PRIVATE LIMITED,,https://qmissystems.com,qmissystems.com,,,,,True,False,False
ASSOC:HYSEA,REQOLENT QUALITY LABS PVT LTD,,https://qualitlabs.com,qualitlabs.com,,,,,True,False,False
ASSOC:HYSEA,RamInfo Limited,,https://raminfo.com,raminfo.com,,,,,True,False,False
ASSOC:HYSEA,RanchHill Software Solutions,,https://navasoftware.com,navasoftware.com,,,,,True,False,False
ASSOC:HYSEA,Revalsys Technologies India Private Limited,,https://revalsys.com,revalsys.com,,,,,True,False,False
ASSOC:HYSEA,S2Tech.Com India Pvt. Ltd.,,https://s2tech.com,s2tech.com,,,,,True,False,False
ASSOC:HYSEA,SBase Technologies,,https://sbasetech.net,sbasetech.net,,,,,True,False,False
ASSOC:GTECH,SCIENTIFIC VISION PRIVATE LIMITED,,https://svsoftware.org,svsoftware.org,,,,,True,False,False
ASSOC:HYSEA,Saven Nova Technologies Pvt Ltd,,https://saventech.com,saventech.com,,,,,True,False,False
