Company Name,Domain Name,Sector,Overview,Funding, Shortlisted? (Yes/No) , Annual Revenue ($ M) ,No. of Employees,Name of the founder 1,LinkedIn,Phone numbers,,,,Total Funding Amount ($M),Year Founded,Year Deadpooled,Years in Existence
Solar Hippo,solarhippo.com,Energy,Marketplace for solar energy products,No, to check ,  1.2 ,  58 ,Rajiv Kumar,https://in.linkedin.com/in/rajivkumar,,,,,-,2015,2022,7
Digital Aristotle,aristotle-app.ai,EdTech,AI and app-based e-learning platform for students,No, to check ,  2.2 ,  15 ,Dev Roy,https://www.linkedin.com/in/devroy/,,,,,-,2016,2022,6
TalPro,talpro.in,Enterprise Applications,On-demand staffing platform,No, to check ,  0.1 ,  42 ,Bhaskar Anand Rao,https://linkedin.com/in/bhaskar-anand-6007349,,,,,-,2010,2022,12
Autoload,autoload.com,Consumer,Online platform for connecting transporters and fleet owners,No, to check ,  0.1 ,  10 ,Navin Gupta,https://www.linkedin.com/in/navingupta2,,,,,-,2015,2017,2
MyMoney,getmymoney.in,FinTech,Accounting and invoice management platform for businesses,No, to check ,  1.0 , - ,0,0,,,,,-,2023,2025,2
Myridz,myridz.com,Enterprise Applications,Mobile app for Automobile Dealers to seamlessly address customer queries,No, to check ,  0.1 ,  9 ,Madhukar Yadalam,https://in.linkedin.com/in/madhukaryadalam,,,,,-,2015,2021,6
Lucky Securities,luckysec.com,FinTech,Online trading platform for the stock market,No, to check ,  0.2 , - ,Ashish Kacholia,https://in.linkedin.com/in/ashish-kacholia-308b8018,,,,,-,1995,2021,26
PolicyTiger,policytiger.com,FinTech,Online platform for policy comparison,No, to check ,  -   ,  3 ,Shankar Nath,https://in.linkedin.com/in/shankar-nath-ba3461,,,,,-,2010,2022,12
Zylm,zylm.in,Environment,Provider of air pollution control & monitoring services,No, to check ,  0.7 , - ,Arihant Bachhawat,https://in.linkedin.com/in/arihant-bachhawat-167b6712,,,,,-,2021,2021,0
IRIL FARMS,irilfarms.com,0,Vertically integrated agriculture business,No, to check ,  0.3 ,  5 ,Sanchi Kakar,https://in.linkedin.com/in/sanchi-kakar-257992119,,,,,-,2019,2022,3
HRInnova,hrinnova.com,Enterprise Applications,Web-based HRMS suite for SMBs,No, to check ,  27.8 ,  846 ,Niraj Hutheesing,https://in.linkedin.com/in/nirajhutheesing,,,,,-,2016,2017,1
Otaf Overseas,otafoverseas.com,Business Services,"Provider of networking, security, and storage solutions",No, to check ,  0.1 ,  12 ,0,0,,,,,-,2017,2021,4
HYRR,hyrr.co,Enterprise Applications,Online video-based assessment solution for enterprises,No, to check ,  0.1 ,  9 ,Nisheeth Kumar,https://www.linkedin.com/in/nisheethk/,,,,,-,2020,2022,2
Brego,brego.ai,FinTech,Cloud-based reporting software for businesses,No, to check ,  0.4 , - ,Mihir Lunia,https://www.linkedin.com/in/mihir-lunia-3b197a43/,,,,,-,2019,2021,2
Market Research Place,marketresearchplace.com,Enterprise Applications,Market research and industry analysis reports provider,No, to check ,  1.3 , - ,0,0,,,,,-,2019,2023,4
PayPortal,payportal.in,FinTech,Wallet based payment solution,No, to check ,  0.2 , 11+ ,Alexandr Shishlov,https://kz.linkedin.com/in/alexandr-shishlov-39833415a,,,,,-,1996,2021,25
Indicare Health Solutions,indicare.co.in,HealthTech,Tech-enabled Care Management Organization,No, to check ,  0.1 ,  11 ,Anuradha Sunil,0,,,,,-,2010,2024,14
EasyMedico,easymedico.com,HealthTech,Online pharmacy,No, to check ,  2.0 ,  5 ,Suresh Naagar,0,,,,,-,2014,2021,7
Neorithm Technologies,neorithm.com,FinTech,Loan management software solutions,No, to check ,  -   ,  28 ,Nandkumar Aradhye,https://www.linkedin.com/in/nandkumar-aradhye-9907b910/,,,,,-,2008,2021,13
Medilane,medilane.org,Healthcare,Provider of medical equipment rental and ambulance services,No, to check ,  0.3 ,  178 ,Dayananda Pibarel Meitei,https://linkedin.com/in/dr-dayananda-pibarel-meetei-37437b110,,,,,-,2018,2024,6
LaunchMyCareer,launchmycareer.com,EdTech,Online platform offering career guidance services,No, to check ,  1.0 ,  19 ,Ankur Aggarwal,0,,,,,-,2018,2023,5
MyLnk,mylnk.in,Enterprise Applications,Platform to shorten weblinks and provide click analysis,No, to check ,  1.0 ,  41 ,Neel Sinha,https://www.linkedin.com/in/neelsinha/,,,,,-,2017,2021,4
M.M Edu Port,mmeduport.com,EdTech,Online educational resources for public exams,No, to check ,  0.6 , - ,Rajiv Malik,https://in.linkedin.com/in/rajivmalik-ceo-gepl,,,,,-,2018,2021,3
HopeBox,hopebox.co.in,Financial Services,"Provider of health, auto, and commercial insurance brokerage services",No, to check ,  1.2 ,  25 ,Pravin Vinod Duseja,https://in.linkedin.com/in/pravin-duseja-70151755,,,,,-,2016,2024,8
Skillmile,skillmile.com,Business Services,Provider of learning management services,No, to check ,  -   ,  14 ,Amit Goel,0,,,,,-,2014,2021,7
Nurture Software Solutions,nurture.co.in,FinTech,Software solutions for the banking industry,No, to check ,  1.8 ,  20 ,Prashant Shrivastava,,,,,,-,2004,2018,14
Beffy,beffy.in,FinTech,Agent-enabled payment solution for individuals and businesses,No, to check ,  0.3 , - ,Rahul Kumar Verma,0,,,,,-,2023,2025,2
Vidmed,vidmed.co.in,HealthTech,Provider of an AI-based telemedicine platform for healthcare providers and organizations,No, to check ,  2.7 ,  38 ,Praveen Vadlamudi,https://linkedin.com/in/drpraveenvadlamudi,,,,,-,2020,2021,1
ML Infomap,mlinfomaps.com,High Tech,Provider of end-to-end GIS solutions for various industries,No, to check ,  1.2 ,  28 ,Dr Manosi Lahiri,https://in.linkedin.com/in/dr-manosi-lahiri-3a328813,,,,,-,1993,2021,28
Rupeelend,rupeelend.com,FinTech,Pay day lending platform,No, to check ,  0.4 ,  31 ,Siddharth Ravindran,https://in.linkedin.com/in/siddharthravindran,,,,,-,2014,2023,9
EasEMyTrade,easemytrades.com,EdTech,Online platform providing trading-related courses,No, to check ,  0.7 ,  19 ,Alok Kumar,https://www.linkedin.com/in/alok-kumar-889712173/,,,,,-,2020,2022,2
Crefite,crefite.com,Financial Services,Diversified lending NBFI,No, to check ,  0.2 , - ,Mukesh Yadav,0,,,,,-,2017,2021,4
Right Steps,rightsteps.io,FinTech,AI-based software suite for financial institutions,No, to check ,  0.4 , - ,Srinivasan Shridharan,https://in.linkedin.com/in/srinivasan-shridharan-08a86a6,,,,,-,2013,2023,10
Shipbazar,shipbazar.com,Consumer,Online platform to book couriers,No, to check ,  0.4 , - ,Ashwin Rangarajan,https://www.linkedin.com/in/ashwin-rangarajan-091a9a9b/,,,,,-,2014,2021,7
Timbukdo,timbukdo.in,Enterprise Applications,Platform that connects students with part-time job vacancies,No, to check ,  -   ,  10 ,Mythri Kumar,https://linkedin.com/in/mythri-kumar-1bb39a69,,,,,-,2022,2024,2
IntelCues,intelcues.ai,Enterprise Applications,Platform offering sales intelligence tool for prospecting leads,No, to check ,  12.4 ,  3 ,Siva Columbus,https://in.linkedin.com/in/sivacolumbus,,,,,-,2021,2023,2
Palgroup,palgroup.co.in,Transportation and Logistics,Provider of road freight transportation services,No, to check ,  1.2 , - ,0,0,,,,,-,2012,2024,12
PayGoal,paygoal.in,FinTech,Payment acceptance solution for businesses,No, to check ,  0.5 , - ,Mohit Srivastava,https://linkedin.com/in/mohit-srivastava-675b45b0,,,,,-,2021,2025,4
UnoCareer,unocareer.com,Enterprise Applications,"Online career portal that connects students, colleges, and companies",No, to check ,  -   ,  18 ,Satyanarayana Rao Raparla,http://linkedin.com/in/rao-raparla-49071a2,,,,,-,2016,2024,8
Bee Skilled,beeskilled.com,HealthTech,Online learning and networking platform tailored for public health professionals,No, to check ,  0.1 ,  5 ,Sanjay Saha,https://linkedin.com/in/sahasanjay,,,,,-,2020,2025,5
Revvster,revvster.in,Business Services,Offers application development services,No, to check ,  1.1 ,  5 ,Pratik Nagotra,https://www.linkedin.com/in/pratik-nagotra-21544291/,,,,,-,2014,2022,8
RankWatch,rankwatch.com,Enterprise Applications,Cloud platform offering webpage rank and competitor analytics,No, to check ,  0.4 ,  19 ,Sahil Kakkar,https://in.linkedin.com/in/sahilkakkar,,,,,-,2012,2021,9
KineticX,kineticxtech.com,Enterprise Applications,Cloud-based human resource management software,No, to check ,  -   ,  18 ,Avish Puri,https://linkedin.com/in/avish-puri,,,,,-,2015,2024,9
Meltag,meltag.com,Enterprise Applications,Loyalty & CRM solution for retail brands,No, to check ,  1.4 ,  8 ,Vinil Vadi,https://www.linkedin.com/in/vinilvadi/,,,,,-,2011,2024,13
Gradealyzer,gradealyzer.com,EdTech,Gradebook Visualization & Analytics,No, to check ,  0.3 , 1+ ,Hetul Kothari,https://www.linkedin.com/in/enhetul/,,,,,-,2012,2021,9
Redcell Technocare,redcelltechnocare.com,Industrial Goods and Manufacturing,"Provider of enterprise mobility, verification, and document automation software",No, to check ,  1.8 , - ,Akhilesh Kumar Verma,0,,,,,-,2023,2024,1
ConnektdLivz,connektdlivz.com,High Tech,Location tracking personal safety app,No, to check ,  0.1 ,  1 ,0,0,,,,,-,2016,2020,4
Wavenote,wavenote.in,Consumer,Voice based social networking platform,No, to check ,  0.1 , - ,Somya Agrawal,https://in.linkedin.com/in/somya-agrawal-a6449a71,,,,,-,2015,2019,4
mGuru,mguru.co.in,EdTech,Mobile based data driven adaptive learning platform,No, to check ,  -   ,  5 ,Adam Khorakiwala,https://www.linkedin.com/in/adam-khorakiwala-038b1349/,,,,,-,2015,2020,5
Talenttar,talenttar.com,Enterprise Applications,Applicant tracking system,No, to check ,  -   , 1+ ,Jayaprakash Harikrishnan,http://linkedin.com/in/jayaprakash-harikrishnan-559671a,,,,,-,2015,2022,7
Fasttrack,fasttrackcabs.com,Consumer,App-based ride-hailing platfrom,No, to check ,  1.4 , - ,Redsun C Ambigapathy,https://linkedin.com/in/redsun-c-ambigapathy-b2b9a1103,,,,,-,2018,2024,6
PracMatic,pracmatic.in,HealthTech,Provider of practice management software for clinics,No, to check ,  0.2 ,  22 ,Jay Mehta,0,,,,,-,2015,2022,7
Heftylife,heftylife.com,HealthTech,Practice management solution for healthcare professionals,No, to check ,  0.4 ,  23 ,0,0,,,,,-,2016,2018,2
AccountsBook,accountsbook.org,FinTech,Accounting and billing software,No, to check ,  0.8 , 11+ ,0,0,,,,,-,2017,2023,6
Krushiking Agrotech,krushiking.com,Food and Agriculture Tech,Online platform for agronomy services for farmers,No, to check ,  1.5 ,  2 ,Nilesh Shejwal,https://in.linkedin.com/in/nilesh-shejwal-a2609656,,,,,-,2013,2022,9
DearO,dearo.com,Auto Tech,Workshop management system for cars and bikes garages,No, to check ,  -   ,  13 ,0,0,,,,,-,2017,2022,5
Social Curry,socialcurry.com,Consumer,Mobile app based social network for neighbors,No, to check ,  0.2 ,  1 ,Shivani Singh-Kapoor,0,,,,,-,2015,2023,8
Ara Management Solutions,aramanagementsolutions.com,FinTech,Platform to invest in mutual funds,No, to check ,  0.6 , - ,Shreedhara R Bhat,0,,,,,-,2009,2020,11
Building Maintenance,buildingmaintenance.in,Energy Tech,App-based maintenance management software for buildings,No, to check ,  -   , - ,Sandip Rudani,https://linkedin.com/in/sandip-rudani-b1b92537,,,,,-,2018,2022,4
TantraByte.,tantrabyte.org,Business Services,"Research and development focused organization providing predictive models utilizing machine learning, deep learning, and internet of things technologies",No, to check ,  -   ,  6 ,0,0,,,,,-,2018,2021,3
Medleymed,medleymed.com,HealthTech,Mobile application to buy prescription medicine,No, to check ,  0.4 ,  48 ,Satish Manchala,https://linkedin.com/in/satish-manchala-a00497,,,,,-,2017,2023,6
Hiredit,hiredit.in,Enterprise Applications,Cloud-based ATS for SMBs,No, to check ,  -   ,  5 ,Bilal Khan,http://linkedin.com/in/bilal-khan-215a7391,,,,,-,2017,2018,1
Reading Pup,readingpup.com,EdTech,App-based platform offering reading proficiency solutions for kids,No, to check ,  0.2 ,  13 ,Keshav Thirani,https://in.linkedin.com/in/keshav-thirani-88a42099,,,,,-,2015,2025,10
School Management Software,school-software.in,Enterprise Applications,Online school management system,No, to check ,  0.5 , - ,0,0,,,,,-,2012,2022,10
YourDeadLift,yourdeadlift.com,HealthTech,Online platform offering CRM solutions,No, to check ,  0.2 , - ,Rakesh Gujari,https://in.linkedin.com/in/rakeshgujari,,,,,-,2018,2022,4
ARVantage,arvantage.app,High Tech,Augmented reality app to advertise products,No, to check ,  0.4 ,  20 ,Vivek Reddy,https://linkedin.com/in/vivek-reddy-397b172b,,,,,-,2019,2023,4
