run_id,actor,status,started_at,finished_at,usage_usd
yBoBtUPAik7YpBdXj,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-31T09:46:47.663Z,2026-08-31T09:46:55.643Z,0.012
8E9SFk5v6sHtJ68Bh,apify/google-search-scraper,SUCCEEDED,2026-08-31T09:49:32.835Z,2026-08-31T09:50:39.136Z,0.016
OvbJQURyzGIp8eIrs,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-31T09:51:04.851Z,2026-08-31T09:51:12.257Z,0.016
g3YB0FWfnR4kv48Hi,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-31T11:18:00.382Z,2026-08-31T11:18:58.274Z,0.668
qtKPWi8vh3pVcYzbL,harvestapi/linkedin-company,SUCCEEDED,2026-08-31T11:19:11.181Z,2026-08-31T11:19:45.666Z,0.62805
xpkmuE1nCiIU4v1uv,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-31T11:32:53.519Z,2026-08-31T11:34:25.545Z,0.9199999999999999
5xWY4aPplyQcx0YQX,apify/google-search-scraper,SUCCEEDED,2026-08-31T11:36:12.870Z,2026-08-31T11:39:57.087Z,0.376
aNJrdyiKZG6KHAiGA,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-31T11:40:26.933Z,2026-08-31T11:41:15.344Z,0.588
8wJ6UYvUHhJKnOiVU,apify/google-search-scraper,SUCCEEDED,2026-08-31T12:01:20.767Z,2026-08-31T12:01:58.278Z,0.07100000000000001
qggbh77Z5X4UgDlcC,apify/google-search-scraper,SUCCEEDED,2026-08-31T12:02:56.578Z,2026-08-31T12:03:44.209Z,0.0735
wPLI2uVLdy9mXxluj,apify/website-content-crawler,SUCCEEDED,2026-08-31T12:08:21.643Z,2026-08-31T12:08:52.596Z,0.01612886831671993
KiYcqZdYwQdiNGhzu,apify/website-content-crawler,SUCCEEDED,2026-08-31T12:09:27.870Z,2026-08-31T12:35:22.859Z,0.7339635967059535
S6d6Jb08jov1fWGAx,apify/google-search-scraper,SUCCEEDED,2026-08-31T13:07:06.415Z,2026-08-31T13:08:13.881Z,0.0585
n6K4idcoibufm0au5,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-31T13:08:46.174Z,2026-08-31T13:09:16.399Z,0.092
yfZ3VNash0mQlWiRv,harvestapi/linkedin-company,SUCCEEDED,2026-08-31T13:09:26.899Z,2026-08-31T13:09:41.196Z,0.06805
hmuG5kfIXQfjhJTHQ,apify/website-content-crawler,SUCCEEDED,2026-08-31T13:10:55.108Z,2026-08-31T13:11:42.684Z,0.02330949471058779
qAGEo98I949pQtO4L,riceman/linkedin-sales-navigator-lead-search-scraper,SUCCEEDED,2026-09-01T03:27:44.018Z,2026-09-01T03:27:48.855Z,0
BcMD6uGUUMJQGKjWA,apify/google-search-scraper,SUCCEEDED,2026-09-01T03:28:48.026Z,2026-09-01T03:29:14.625Z,0.051000000000000004
13BfK26quDKjGflyn,apify/google-search-scraper,SUCCEEDED,2026-09-01T03:29:47.604Z,2026-09-01T03:31:26.994Z,0.066
C9GzlCGpF9QsaahuL,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T03:32:56.225Z,2026-09-01T03:34:37.850Z,1.212
5pY5OtnilTa4sz7PK,harvestapi/linkedin-company,SUCCEEDED,2026-09-01T03:42:34.508Z,2026-09-01T03:42:59.377Z,0.44805
hmymxgPn1vgqXaWz8,apify/google-search-scraper,SUCCEEDED,2026-09-01T03:50:12.260Z,2026-09-01T03:50:54.851Z,0.051000000000000004
GWRK2O85temKF2RRm,apify/google-search-scraper,SUCCEEDED,2026-09-01T03:51:18.891Z,2026-09-01T03:52:07.071Z,0.051000000000000004
ns1ep5i9vwsRwxLlg,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T03:53:26.966Z,2026-09-01T03:54:41.761Z,0.852
cCaYSl3bl4lZHftzy,harvestapi/linkedin-company,SUCCEEDED,2026-09-01T04:00:28.748Z,2026-09-01T04:00:58.537Z,0.38405
44v3ddfb5h31LycEk,apify/google-search-scraper,SUCCEEDED,2026-09-01T04:02:21.132Z,2026-09-01T04:02:58.529Z,0.0635
KMhwa3OJsxVyene10,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T04:04:38.805Z,2026-09-01T04:05:40.135Z,0.7000000000000001
lTEBxdgzoX5S1qepN,harvestapi/linkedin-company,SUCCEEDED,2026-09-01T04:11:11.123Z,2026-09-01T04:11:22.260Z,0.13605
yNoXLURioNkqa9XsN,apify/google-search-scraper,SUCCEEDED,2026-09-01T04:12:32.036Z,2026-09-01T04:14:18.061Z,0.121
8neb1aFwPAR8U2HQE,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T04:15:42.738Z,2026-09-01T04:16:53.639Z,0.804
1uaAHRgXdEsLIgX0C,harvestapi/linkedin-company,SUCCEEDED,2026-09-01T04:22:08.428Z,2026-09-01T04:22:28.447Z,0.36805
7IPusdwy6nfSYgi5S,riceman/linkedin-company-data-insights-scraper,SUCCEEDED,2026-09-01T05:12:44.584Z,2026-09-01T05:12:53.842Z,0
9YS8KZoH1GarW7ge7,riceman/linkedin-company-data-insights-scraper,SUCCEEDED,2026-09-01T05:13:41.149Z,2026-09-01T05:14:24.116Z,0.34002
Z7xkNprv67hL4WaHV,riceman/linkedin-sales-navigator-lead-search-scraper,SUCCEEDED,2026-09-01T05:15:14.452Z,2026-09-01T05:15:19.214Z,0
MiOFDw5cakBwk3zya,riceman/linkedin-sales-navigator-lead-search-scraper,SUCCEEDED,2026-09-01T06:24:14.590Z,2026-09-01T06:24:16.311Z,0
btezVagcUIniah8RI,apify/google-search-scraper,SUCCEEDED,2026-09-01T06:26:43.746Z,2026-09-01T06:38:27.202Z,1.126
Rc3hdf6cM55lPQQcb,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T06:39:58.112Z,2026-09-01T06:40:26.969Z,0.332
RRmVsXjSyS5exvgFf,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-09-01T06:59:04.291Z,2026-09-01T07:01:25.505Z,1.31
foi7PcO63StllUBBx,apify/google-search-scraper,SUCCEEDED,2026-09-01T07:02:49.057Z,2026-09-01T07:11:45.673Z,0.8185
zs6GJbRlgW1HvoCJi,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:13:26.104Z,2026-09-01T07:14:03.275Z,0.4
mqGt7uQLUZUPJV2ZO,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:14:11.553Z,2026-09-01T07:14:44.397Z,0.4
ZJ1vLa3NBt7FbkScF,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:14:57.499Z,2026-09-01T07:15:29.369Z,0.4
