rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
1057,Kryptos Technologies Private Limited,Chennai,1,https://kryptostech.com/,kryptostech.com,,,,
1069,Lattice Semiconductor (India) Private Limited,Pune,1,https://www.latticesemi.com/,latticesemi.com,,,,
1081,Lester Infoservices Private Limited,Navi Mumbai,1,http://www.lesterinc.com,lesterinc.com,,,,
1093,LinkedIn Technology Information Private Limited,Bengaluru,1,https://in.linkedin.com,in.linkedin.com,,,,
1105,LoudCloud Systems Private Limited,Mumbai,1,https://www.bnedloudcloud.com/,bnedloudcloud.com,,,,
1117,Maersk Global Service Centres (India) Pvt Ltd,Bengaluru,1,http://www.maerskline.com,maerskline.com,,,,
1129,Marsh Mclennan (India) Private Limited,Gurugram,1,http://www.mercer.co.in,mercer.co.in,,,,
1141,MCO MyCompliance India Private Limited,Hyderabad,1,https://mco.mycomplianceoffice.com/,mco.mycomplianceoffice.com,,,,
1153,Meta Cognitive Technologies Private Limited,Chennai,1,https://metacognitive.co.in/web/,metacognitive.co.in,,,,
1165,MHP India Private Limited,Bengaluru,1,https://www.mhp.com,mhp.com,,,,
1177,Minutus Computing Private Limited,Pune,1,https://minutuscomputing.com,minutuscomputing.com,,,,
1189,Modak Analytics LLP,Hyderabad,1,http://www.modakanalytics.com,modakanalytics.com,,,,
1201,MorningStar India Private Limited,Mumbai,1,http://www.morningstar.in,morningstar.in,,,,
1213,MTAP Technologies Pvt Ltd,Chennai,1,http://www.mtap.in,mtap.in,,,,
1225,Nanosecond Technologies Private Limited,Bengaluru,1,http://www.pice.one,pice.one,,,,
1237,NCR Corporation India Pvt Ltd,Hyderabad,1,http://www.ncr.com,ncr.com,,,,
1249,NetEdge Computing Global Services Pvt Ltd,Noida,1,http://www.netedgecomputing.com,netedgecomputing.com,,,,
1261,Nexval Infotech Private Limited,Kolkata,1,http://www.nexval.com,nexval.com,,,,
1273,NobleServe Systems Private Limited,Coimbatore,1,https://www.nobleserve.com,nobleserve.com,,,,
1285,Noventiq Global AI Solutions Private Limited,Bengaluru,1,http://www.g7cr.com,g7cr.com,,,,
1297,NVIDIA Graphics Pvt Ltd,Bengaluru,1,http://www.nvidia.in,nvidia.in,,,,
1309,OIP Robotics Private Limited,Hyderabad,1,https://www.oipinsurtech.com/,oipinsurtech.com,,,,
1321,Opcito Technologies Private Limited,Pune,1,http://www.opcito.com,opcito.com,,,,
1333,Orbitsys Technologies Private Limited,Gurugram,1,http://www.orbitsys.in,orbitsys.in,,,,
1345,Outscalepartners India Private Limited,Gurugram,1,https://outscalepartners.com/,outscalepartners.com,,,,
1357,Park Hospitals,Kolkata,1,http://www.neotiahospital.com,neotiahospital.com,,,,
1369,Pennant Technologies Pvt Ltd,Hyderabad,1,http://www.pennanttech.com,pennanttech.com,,,,
1381,Pioneer Design And Engineering Private Limited,Hyderabad,1,https://www.pioneerdesign.in/,pioneerdesign.in,,,,
1393,Pragma Edge Software Services Private Limited,Hyderabad,1,http://www.pragmaedge.com,pragmaedge.com,,,,
1405,PRGX India Private Limited,Pune,1,http://www.prgx.com,prgx.com,,,,
1417,ProductDossier Solutions (India) Private Limited,Pune,1,http://www.productdossier.com,productdossier.com,,,,
1429,Prostarm Info Systems Limited,Navi Mumbai,1,https://prostarm.com/,prostarm.com,,,,
1441,PurpleLabs Search Private Limited,Bengaluru,1,https://purplequarter.com/,purplequarter.com,,,,
1453,Qualifyde Technologies Private Limited,Hyderabad,1,https://qualifyde.com/,qualifyde.com,,,,
1465,Quest Diagnostics HTAS India Private Limited,Hyderabad,1,http://www.QuestDiagnostics.com,questdiagnostics.com,,,,
1477,R S Software (India) Ltd,Kolkata,1,http://www.rssoftware.com,rssoftware.com,,,,
1489,Rasacode Technologies Private Limited,Kolkata,1,https://rasacode.in/,rasacode.in,,,,
1501,Relatient India Private Limited,Pune,1,https://www.relatient.com,relatient.com,,,,
1513,RheinBrucke IT Consulting Pvt Ltd,Chennai,1,http://www.rheincs.com,rheincs.com,,,,
1525,Rolls Royce India Private Limited,Bengaluru,1,http://www.rolls-royce.com,rolls-royce.com,,,,
1537,RxBenefits Healthcare India Private Limited,Hyderabad,1,https://www.rxbenefits.com/,rxbenefits.com,,,,
1549,Sairam Group Of Institutions,Chennai,1,https://sairamgroup.in,sairamgroup.in,,,,
1561,Sarvagram Solutions Private Limited,Pune,1,http://www.sarvagram.com,sarvagram.com,,,,
1573,Schlumberger India Technology Centre Pvt Ltd,Pune,1,http://www.slb.com,slb.com,,,,
1585,Sesame Group India Private Limited,Gurugram,1,http://www.sbg.co.uk,sbg.co.uk,,,,
1597,SHRM East Private Limited,Gurugram,1,http://www.shrmindia.org,shrmindia.org,,,,
1609,Sirius Info Services Private Limited,Hyderabad,1,https://www.siriusinfos.com/,siriusinfos.com,,,,
1621,Skyach Software Solutions Pvt Ltd,Mohali,1,http://www.skyach.com,skyach.com,,,,
1633,Smith & Nephew GBS Private Limited,Pune,1,https://www.smith-nephew.com/,smith-nephew.com,,,,
1645,Softprime Consulting Private Limited,Noida,1,https://softprimeconsulting.com/,softprimeconsulting.com,,,,
1657,Sopra Steria India Limited,Noida,1,http://www.in.sopragroup.com,in.sopragroup.com,,,,
1669,SplendorNet Technologies Private Limited,Pune,1,https://www.splendornet.com,splendornet.com,,,,
1681,SRKay Consulting Group Private Limited,Mumbai,1,http://www.srkay.com,srkay.com,,,,
1693,Strad Hosting & Development LLP,Mumbai,1,https://www.stradsolutions.com,stradsolutions.com,,,,
1705,Sun Knowledge Pvt Ltd,Kolkata,1,http://www.sunknowledge.com,sunknowledge.com,,,,
1717,Swiggy Limited,Bengaluru,1,https://www.swiggy.com/,swiggy.com,,,,
1729,T-Systems Information and Communication Technology India Private Limited,Pune,1,http://www.t-systems.com/,t-systems.com,,,,
1741,Taurusquest Global Services Pvt Ltd,Chennai,1,http://www.taurusquest.com,taurusquest.com,,,,
1753,TechRAQ Info Solutions Private Limited,Hyderabad,1,http://www.techraq.com,techraq.com,,,,
1765,Telemune Software Solutions Private Limited,Delhi,1,http://www.telemune.com/,telemune.com,,,,
1777,Testrig Technologies Private Limited,Pune,1,https://www.testrigtechnologies.com,testrigtechnologies.com,,,,
