row,company_name,domain,website,city,headcount,band_label,founded_year,prequal_score,prequal_rank,tier,source,signalhire_status,founder_name,founder_title,founder_linkedin,founder_mobile_+91,notes_from_vendor
133,Zweck Infotech Pvt Ltd,zweck.io,https://zweck.io,"Kochi, India",30,10-49,,75,269,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
134,RITWIK IT Services Private Limited,ritwikinfotech.com,https://ritwikinfotech.com,Hyderabad,,,,72,271,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
135,Upstair Technologies LLP,upstairtechnologies.com,https://upstairtechnologies.com,"Surat, India",30,10-49,,72,272,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
136,OMANGOM Infosystems Private Limited,omangom.com,https://omangom.com,"Noida, India",30,10-49,,70,274,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
137,Connor Clark & Lunn India Private Limited,cclfg.cclgroup.com,https://cclfg.cclgroup.com,Gurugram,,,,70,275,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
138,Altumcore Technologies,altumcore.com,https://altumcore.com,"Ahmedabad, India",30,10-49,,70,276,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
139,RORBits Software,rorbits.com,https://rorbits.com,"Ahmedabad, India",30,10-49,,70,277,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
140,Webclick® Digital Pvt. Ltd,webclickindia.com,https://webclickindia.com,"Delhi, India",30,10-49,,70,278,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
141,Shira Infotech,shirainfotech.com,https://shirainfotech.com,"Delhi, India",150,50-249,,70,281,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
142,ITSWS Technologies Pvt Ltd,itsws.com,https://itsws.com,"Noida, India",30,10-49,,70,282,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
143,Suyog Computech Pvt Ltd,suyogindia.com,https://suyogindia.com,Bhubaneswar,,,,70,285,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
144,Isynbus Technologies,isynbus.com,https://isynbus.com,"Noida, India",150,50-249,,70,286,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
145,Gemicates Technologies Pvt Ltd,gemicates.com,https://gemicates.com,"Chennai, India",30,10-49,,70,287,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
146,Phontinent Technologies,phontinent.com,https://phontinent.com,"Jaipur, India",30,10-49,,70,288,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
147,Whizcamp Private Limited,whizcamp.tech,https://whizcamp.tech,"Mohali, India",30,10-49,,70,289,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
148,SHL (India) Private Limited,shl.com,https://shl.com,Gurugram,,,,70,290,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
149,Traviyo,traviyo.com,https://traviyo.com,"Noida, India",30,10-49,,70,291,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
150,Albiorix Technology Private Limited,albiorixtech.com,https://albiorixtech.com,"Ahmedabad, India",150,50-249,,70,292,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
151,Dqot Solutions,dqotsolutions.com,https://dqotsolutions.com,"Jaipur, India",150,50-249,,70,293,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
152,Nevina Infotech Pvt.Ltd,nevinainfotech.com,https://nevinainfotech.com,"Ahmedabad, India",30,10-49,,70,295,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
153,Convergent Infoware,convergentinfoware.com,https://convergentinfoware.com,"Kolkata, India",30,10-49,,70,296,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
154,STP Investment Services India Private Limited,stpis.com,https://stpis.com,Bengaluru,,,,70,297,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
155,Alkami Technology India Private Limited,alkami.com,https://alkami.com,Gurugram,,,,70,298,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
156,Quintero,quinterocorp.com,https://quinterocorp.com,"Delhi, India",30,10-49,,70,299,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
157,Intuz,intuz.com,https://intuz.com,"Ahmedabad, India",150,50-249,,70,302,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
158,eClerx Services Ltd,eclerx.com,https://eclerx.com,Mumbai,,,,70,304,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
159,iGex Solutions,igexsolutions.com,https://igexsolutions.com,"Ahmedabad, India",30,10-49,,70,305,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
160,Notiva Private Limited,nasscom.in,https://nasscom.in,Kolkata,,,,70,306,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
161,Kanhasoft,kanhasoft.com,https://kanhasoft.com,"Ahmedabad, India",150,50-249,,70,309,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
162,CITYTECH SOFTWARE,citytechcorp.com,https://citytechcorp.com,"Kolkata, India",150,50-249,,70,310,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
163,Awzpact Technologies & Services Pvt.Ltd.,awzpact.com,https://awzpact.com,"Bhopal, India",150,50-249,,70,312,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
164,ChromeInfo Technologies,chromeinfotech.net,https://chromeinfotech.net,"Noida, India",150,50-249,,70,313,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
165,Tecziq Solutions Pvt Ltd,tecziq.com,https://tecziq.com,"Delhi, India",30,10-49,,70,314,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
