status,company,domain,city,score,reason_or_rank,lead_source,owner,deal_id
Tier-A queue (active),IT Path Solutions,itpathsolutions.com,"Ahmedabad, India",75,rank 253,,,
Tier-A queue (active),TECUNIQUE PRIVATE LIMITED,tecunique.com,"Vadodara, India",75,rank 254,,,
Tier-A queue (active),Aimdek Technologies,aimdek.com,"Ahmedabad, India",75,rank 255,,,
Tier-A queue (active),Netclues,netclues.com,"Ahmedabad, India",75,rank 259,,,
Tier-A queue (active),EMedStore,emedstore.in,"Ahmedabad, India",75,rank 262,,,
Tier-A queue (active),Atyantik Technologies Pvt. Ltd.,atyantik.com,"Vadodara, India",75,rank 268,,,
Tier-A queue (active),Upstair Technologies LLP,upstairtechnologies.com,"Surat, India",72,rank 272,,,
Tier-A queue (active),Tuvoc Technologies Pvt Ltd,tuvoc.com,"Ahmedabad, India",72,rank 273,,,
Tier-A queue (active),Altumcore Technologies,altumcore.com,"Ahmedabad, India",70,rank 276,,,
Tier-A queue (active),RORBits Software,rorbits.com,"Ahmedabad, India",70,rank 277,,,
Tier-A queue (active),iTechnoSol Inc,itechnosol.com,"Vadodara, India",70,rank 283,,,
Tier-A queue (active),Albiorix Technology Private Limited,albiorixtech.com,"Ahmedabad, India",70,rank 292,,,
Tier-A queue (active),Nevina Infotech Pvt.Ltd,nevinainfotech.com,"Ahmedabad, India",70,rank 295,,,
Tier-A queue (active),Intuz,intuz.com,"Ahmedabad, India",70,rank 302,,,
Tier-A queue (active),Bitrix Infotech Pvt Ltd,bitrixinfotech.com,"Surat, India",70,rank 303,,,
Tier-A queue (active),iGex Solutions,igexsolutions.com,"Ahmedabad, India",70,rank 305,,,
Tier-A queue (active),Kanhasoft,kanhasoft.com,"Ahmedabad, India",70,rank 309,,,
Tier-A queue (active),Agreem Technologies,agreemtech.com,"Ahmedabad, India",70,rank 316,,,
Tier-A queue (active),IConflux Techonologies,iconflux.com,"Ahmedabad, India",70,rank 317,,,
Tier-A queue (active),E Launch Solution Pvt. Ltd.,elaunchinfotech.com,"Surat, India",70,rank 325,,,
Tier-A queue (active),SkyQuest Technology Consulting Pvt. Ltd.,skyquestt.com,"Ahmedabad, India",70,rank 329,,,
Tier-A queue (active),Infynno Solutions,infynno.com,"Ahmedabad, India",70,rank 331,,,
Tier-A queue (active),EliteSigma Infotech,elitesigma.com,"Ahmedabad, India",70,rank 335,,,
Tier-A queue (active),Vedlogic Soultions PVT. LTD,vedlogic.com,"Ahmedabad, India",70,rank 338,,,
Tier-A queue (active),iTechNotion Pvt Ltd,itechnotion.com,"Ahmedabad, India",70,rank 339,,,
Tier-A queue (active),Facile Technolab Pvt Ltd,faciletechnolab.com,"Ahmedabad, India",70,rank 341,,,
Tier-A queue (active),FinByz Tech Pvt Ltd,finbyz.tech,"Ahmedabad, India",70,rank 344,,,
Tier-A queue (active),Simplior Technologies Pvt Ltd.,simplior.com,"Ahmedabad, India",70,rank 352,,,
Tier-A queue (active),Inbox Infotech,inboxtechs.com,"Vadodara, India",70,rank 356,,,
Tier-A queue (active),Logix Built Solutions Private Limited,logixbuilt.com,"Surat, India",70,rank 361,,,
Tier-A queue (active),Naapbooks Limited,naapbooks.com,"Ahmedabad, India",70,rank 366,,,
Tier-A queue (active),Taasha Tech,taasha.tech,"Ahmedabad, India",70,rank 368,,,
Tier-A queue (active),Nivida,nivida.in,"Vadodara, India",70,rank 371,,,
Tier-A queue (active),Netclues,netclues.ca,"Ahmedabad, India",70,rank 375,,,
Tier-A queue (active),Inextrix Technologies Pvt Ltd,inextrix.com,"Ahmedabad, India",70,rank 376,,,
Tier-A queue (active),eSparkBiz Technologies Pvt. Ltd,esparkinfo.com,"Ahmedabad, India",70,rank 377,,,
Tier-A queue (active),Peerbits,peerbits.com,"Ahmedabad, India",70,rank 379,,,
Tier-A queue (active),Sky Productivity,skyproductivity.com,"Ahmedabad, India",70,rank 394,,,
Tier-A queue (active),Vistaura,vistaura.com,"Vadodara, India",70,rank 398,,,
Tier-A queue (active),Techcronus Business Solutions,techcronus.com,"Ahmedabad, India",65,rank 408,,,
Tier-A queue (active),Rlogical Techsoft pvt ltd.,rlogical.com,"Ahmedabad, India",65,rank 423,,,
Tier-A queue (active),Samyak Infotech Pvt.Ltd,samyak.com,"Ahmedabad, India",65,rank 426,,,
Tier-A queue (active),Manektech,manektech.com,"Ahmedabad, India",65,rank 428,,,
Tier-A queue (active),Tenup Software Services,tenupsoft.com,"Vadodara, India",65,rank 432,,,
Tier-A queue (active),Cirkle Studio Pvt. Ltd.,cirklestudio.co,"Surat, India",65,rank 435,,,
Tier-A queue (active),iFour Technolab Pvt. Ltd.,ifourtechnolab.com,"Ahmedabad, India",65,rank 439,,,
Tier-A queue (active),Variance InfoTech Pvt Ltd,varianceinfotech.com,"Ahmedabad, India",65,rank 440,,,
Tier-A queue (active),Encodedots Technolabs Pvt Ltd,encodedots.com,"Ahmedabad, India",65,rank 450,,,
Tier-B reserve (active),Dynamic Methods,dynamic-methods.com,"Ahmedabad, India",65,rank 10,,,
Tier-B reserve (active),Weapplinse Technologies LLP,weapplinse.com,"Surat, India",65,rank 15,,,
